"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TNNI3",51.9516908440539,7.89221445031679,1.43795335192543,4.79307234903556,1.64246358603502e-06,0.000189222754868474
"ADH1B",121455.243509556,-7.89878996368322,1.4401177967014,-4.79043449048749,1.66420551456248e-06,0.000190457850974532
"TRHDE",313.602676329245,-6.44656349097799,1.14368132175126,-4.76230868458879,1.91390616832885e-06,0.000217593503255861
"RPLP0P2",155.500127358575,3.71470696813848,0.570616415692496,4.75749889677453,1.96006327786688e-06,0.000221384663430181
"TFR2",115.28547188996,4.76783901726041,0.793205260365084,4.75014375916545,2.03272090321986e-06,0.000228100324211314
"MMP1",451.312627309509,6.85632779340119,1.23370064928395,4.74696012910446,2.0649663741429e-06,0.000230223767171377
"RGS4",1289.8451780186,4.37742106128811,0.711860160872407,4.74450074175942,2.09021213408856e-06,0.000231544589033234
"CDCA2",696.626225758848,5.41392886553717,0.931112499508578,4.74048932633463,2.13202684417166e-06,0.000234672330535863
"TGFBR3",9738.91777337112,-4.00623073427675,0.634539923811538,-4.73765419868147,2.1620633280125e-06,0.000235674293528919
"MAST1",112.96401173616,5.4503413507604,0.939473208575939,4.73706041868534,2.16840533945362e-06,0.000235674293528919
"PDE3B",6275.0012826578,-5.91199962716676,1.03961425831791,-4.72482902948481,2.30309038120756e-06,0.000248748155485299
"ZNF695",202.050972013713,5.29162814675288,0.909488487495268,4.71872729095453,2.37324709292646e-06,0.000254733434862498
"FGFBP2",523.88371882475,-5.37653625889384,0.929447078374595,-4.70875250535778,2.49237475715523e-06,0.000265386025723098
"TRDN",121.564169413205,-6.28522502891535,1.12263654583392,-4.70786831991949,2.50320711723077e-06,0.000265386025723098
"NUF2",1156.22081496461,5.81466547601349,1.02429849282649,4.70045158684918,2.59586795046107e-06,0.000273531671048279
"PRRT4",440.691300217335,-5.37933719216517,0.932609121775596,-4.69579064788402,2.65577440085123e-06,0.000278148105582486
"FZD4",19675.1644977309,-4.24922736000445,0.692327976401172,-4.69319090193991,2.68976272432896e-06,0.000278783789576465
"SLC7A10",1540.28836749443,-7.78813381702995,1.44648097850312,-4.69286075510968,2.69410872398991e-06,0.000278783789576465
"PNCK",99.3758555090555,4.57550573366334,0.762997981692628,4.68612738100757,2.78423014856079e-06,0.000286363974378265
"ANGPTL5",74.9640133689252,-6.33324685186801,1.13838253895101,-4.68493381564203,2.80050411839169e-06,0.000286363974378265
"ANLN",2318.91697967984,4.78031937720421,0.811117233105291,4.66063254843149,3.15239072095089e-06,0.000320449788522073
"XIRP1",48.0048506269497,3.95100315244526,0.63521327595955,4.64568872240192,3.3894375352602e-06,0.000341781118264343
"ZNF676",76.2961429563809,-3.56483597569484,0.552178769029475,-4.64493768965958,3.40179111981176e-06,0.000341781118264343
"SYNGR3",98.1091890166674,4.36989942106575,0.725847769171766,4.64270824295706,3.43871767822642e-06,0.000343494105187462
"TLX1",318.593961697891,7.46511793648998,1.39458167785521,4.63588331838187,3.55416422864313e-06,0.000352985701351621
"THRSP",5949.74539819535,-5.4420153105122,0.9619991637393,-4.61748354670709,3.88421467256148e-06,0.000383560650037343
"CILP2",611.48707060857,4.23159578872484,0.703431999676524,4.59404148547536,4.34742892233429e-06,0.000426863177311699
"E2F7",131.680970495004,3.93596466662575,0.639357701250431,4.59205333866113,4.38906150950446e-06,0.000428004763608875
"MELK",1346.27162641355,5.51874899974448,0.984235249674303,4.59112697014234,4.40859023912851e-06,0.000428004763608875
"PKMYT1",729.955896047097,5.72966304730727,1.03190299608291,4.58343765379207,4.57393304928618e-06,0.000441576184495612
"DPT",14240.1400023798,-4.69518470392801,0.806577957666698,-4.58131129025344,4.62069446132519e-06,0.000443612338812003
"CCDC141",69.6273217013209,-3.98191749375744,0.652944865994673,-4.56687486042929,4.95049344493246e-06,0.000472649045424739
"CHL1",2994.13452232077,-4.59250811519911,0.787917258561361,-4.55949920650118,5.12757506413644e-06,0.000486866069688691
"GFRA2",166.988573585547,-4.05520753569223,0.670849093496911,-4.55423964243054,5.25753947600109e-06,0.000496478358933196
"PRKAR2B",19180.0417264491,-4.34904865669892,0.737108434017134,-4.54349523372985,5.53290570076227e-06,0.000519642083776482
"FIGF",1224.12644016094,-5.6591970538727,1.02615064120447,-4.54046108513256,5.61313387810696e-06,0.000524327386743602
"ADIPOQ",136397.929705801,-7.6686238572309,1.47046139558057,-4.53505537600187,5.75883739063503e-06,0.00053504553197615
"ODZ1",179.249553982443,-4.1279274861324,0.690480908223433,-4.53007092430748,5.89638890384328e-06,0.000542924711667497
"GLP2R",27.2796121823226,-7.71526878943439,1.4824942884345,-4.52970972085542,5.90647796964813e-06,0.000542924711667497
"EBF1",3926.03822905075,-3.78646658334039,0.615973144686801,-4.52368192895357,6.07730335998372e-06,0.000555671319385601
"GPBAR1",183.307036880499,-4.53083391804034,0.78161290700548,-4.51736900247424,6.26127389118592e-06,0.000565802463725047
"CCDC69",6527.49295539499,-4.15801116970563,0.699168866573952,-4.51680748483614,6.27789318447716e-06,0.000565802463725047
"PAMR1",1639.92918829283,-3.50533645889521,0.554773195562358,-4.51596522495219,6.30290079660804e-06,0.000565802463725047
"SLC22A12",31.8006418973712,-8.51839475767383,1.66504797802067,-4.51542229228215,6.3190715525105e-06,0.000565802463725047
"AKR1C3",4282.9920876188,-3.1397004466328,0.474477378588257,-4.50959422554388,6.49517411288567e-06,0.000578572700230811
"ZBTB16",797.466622797598,-5.79744194426207,1.06489332960265,-4.50509155320955,6.63443326959567e-06,0.00058794687862504
"CCL11",30.1256807248655,5.87857122868563,1.08416291693329,4.49985067049273,6.80012154208757e-06,0.000599555614126609
"PLK1",1125.3688947394,4.79163281656825,0.845628525579948,4.48380429689015,7.33239146773843e-06,0.000643203334791816
"TMEM37",3383.8459734587,-4.40338073425791,0.759310235399947,-4.48220052303821,7.38772756547608e-06,0.000644784444742385
"CNIH2",175.468420589211,5.02747934735233,0.901183360301118,4.46910087865649,7.85490809752454e-06,0.000682113903685033
"MASP1",227.441310587002,-4.1257420455075,0.702104754891642,-4.45195965948117,8.50901541432764e-06,0.000735221476874979
"C7orf58",4035.2311647403,-4.3146914134261,0.745744531365051,-4.44480820711981,8.79703108661597e-06,0.000756325841829904
"SAA2",3254.7811333726,-5.85794245153973,1.09464544582832,-4.43791409360289,9.08348560908603e-06,0.000777087697082256
"NOVA1",1038.04266173789,-4.24601848472713,0.731897025907391,-4.43507538605282,9.20400751768212e-06,0.00078351947740426
"FAM13A",7126.78542640036,-4.0801669280789,0.69753554618931,-4.41578489426967,1.00644129363986e-05,0.00085256431349953
"MAPK10",1159.25254714366,-3.67632129091486,0.60755237944482,-4.40508733314563,1.05741268492917e-05,0.000891100916434644
"ANGPT4",45.7069437086586,-5.36606243291089,0.991363465281104,-4.4040985832304,1.06224633288315e-05,0.000891100916434644
"C7orf41",12247.8467911678,-3.9177317909903,0.663955342740292,-4.3944699336979,1.11043370500768e-05,0.000924626156367698
"FOXM1",2525.68884162458,5.13177568052532,0.940521874603769,4.39306707487903,1.11762626348514e-05,0.000924626156367698
"ADHFE1",953.145354698801,-4.06825785483951,0.69845147505656,-4.392943481995,1.11826206053382e-05,0.000924626156367698
"ACACB",20934.4242554714,-5.18996150712534,0.955604407222773,-4.38461927912453,1.16188805222214e-05,0.000953051483207824
"UTS2",18.4941070352502,6.95188724677724,1.35755007776386,4.38428559230841,1.16367029082143e-05,0.000953051483207824
"MFAP2",1799.43174183865,2.84753341067351,0.421575093014905,4.38245390034983,1.17350002212313e-05,0.000956568579354236
"LRRC15",3868.02454216602,3.76801941401423,0.634277648857702,4.36405006387861,1.27676337887339e-05,0.00103585671128221
"TTK",1214.56366629849,5.41052335835842,1.01277763101329,4.35487832995055,1.33140847795908e-05,0.00107514345362668
"MMRN1",1697.20461527082,-4.29225750763819,0.756325884429979,-4.3529615677764,1.3431070267074e-05,0.00107954569900142
"GPX3",36022.7267424404,-4.73009852295486,0.857371551572202,-4.35062082024392,1.35752629295282e-05,0.00108608388280174
"BUB1",1267.38529933137,5.13328884073144,0.951452002141667,4.34419059650685,1.39790110342562e-05,0.00111323174969116
"ANGPT1",1271.08965962945,-3.73879005255591,0.630743600679226,-4.34216066497798,1.41088294997687e-05,0.00111841597516285
"MME",12493.0915325449,-3.5948005885049,0.599976111895705,-4.32483983454988,1.5264272479221e-05,0.00120448352837177
"PDE11A",596.545305380466,-4.1197258260383,0.722750836793623,-4.3164610363905,1.58550652299988e-05,0.00124541537381641
"GRIN2D",162.810985013019,3.08688339139888,0.483639872892031,4.31495314668724,1.5963675736849e-05,0.00124827276202935
"MAMDC2",1594.10485145119,-3.60022558159691,0.603470885481304,-4.3087838107104,1.64154729456261e-05,0.00127781886474488
"GYS2",310.01214712176,-9.38279902730894,1.94867242937903,-4.30179998491599,1.69416209516626e-05,0.00131286166666225
"LRRN4CL",1212.75431941961,-4.27280173891734,0.764425421942216,-4.28138788294345,1.85731293690546e-05,0.0014328671813689
"GPR37L1",57.4341906221157,5.40068536733826,1.0302408609566,4.27151119132677,1.94152781929777e-05,0.00149117965534599
"BMP3",206.472552960009,-5.63390271764194,1.0860348518194,-4.26680848213934,1.98289243801611e-05,0.00151621080625471
